user_id,event_time,event_name,device,acquisition_channel,course_category,signup_date
U0157,2026-09-01 08:54:00,visit,pc,search,business,2026-09-01
U0157,2026-09-01 08:58:00,view_course,pc,search,business,2026-09-01
U0157,2026-09-01 09:11:00,start_trial,pc,search,business,2026-09-01
U0157,2026-09-01 09:28:00,start_lesson,pc,search,business,2026-09-01
U0109,2026-09-01 09:30:00,visit,mobile,referral,data,2026-09-01
U0109,2026-09-01 09:42:00,view_course,mobile,referral,data,2026-09-01
U0197,2026-09-01 10:48:00,visit,mobile,ad,data,2026-09-01
U0197,2026-09-01 10:50:00,view_course,mobile,ad,data,2026-09-01
U0197,2026-09-01 11:07:00,start_trial,mobile,ad,data,2026-09-01
U0085,2026-09-01 11:12:00,visit,mobile,ad,programming,2026-09-01
U0221,2026-09-01 11:18:00,visit,mobile,ad,data,2026-09-01
U0037,2026-09-01 12:00:00,visit,mobile,ad,programming,2026-09-01
U0037,2026-09-01 12:02:00,view_course,mobile,ad,programming,2026-09-01
U0257,2026-09-01 12:20:00,visit,pc,ad,programming,2026-09-01
U0257,2026-09-01 12:31:00,view_course,pc,ad,programming,2026-09-01
U0093,2026-09-01 12:37:00,visit,mobile,search,programming,2026-09-01
U0093,2026-09-01 12:51:00,view_course,mobile,search,programming,2026-09-01
U0093,2026-09-01 13:00:00,start_trial,mobile,search,programming,2026-09-01
U0093,2026-09-01 13:07:00,start_lesson,mobile,search,programming,2026-09-01
U0017,2026-09-01 13:16:00,visit,mobile,ad,business,2026-09-01
U0017,2026-09-01 13:23:00,view_course,mobile,ad,business,2026-09-01
U0093,2026-09-01 13:35:00,complete_lesson,mobile,search,programming,2026-09-01
U0017,2026-09-01 13:42:00,view_course,mobile,ad,business,2026-09-01
U0045,2026-09-01 14:21:00,visit,mobile,search,data,2026-09-01
U0045,2026-09-01 14:24:00,view_course,mobile,search,data,2026-09-01
U0005,2026-09-01 14:40:00,visit,mobile,search,data,2026-09-01
U0005,2026-09-01 14:52:00,view_course,mobile,search,data,2026-09-01
U0253,2026-09-01 15:15:00,visit,mobile,referral,programming,2026-09-01
U0253,2026-09-01 15:20:00,view_course,mobile,referral,programming,2026-09-01
U0097,2026-09-01 15:50:00,visit,pc,ad,programming,2026-09-01
U0097,2026-09-01 15:53:00,view_course,pc,ad,programming,2026-09-01
U0097,2026-09-01 16:02:00,start_trial,pc,ad,programming,2026-09-01
U0097,2026-09-01 16:12:00,start_lesson,pc,ad,programming,2026-09-01
U0081,2026-09-01 16:19:00,visit,pc,search,business,2026-09-01
U0081,2026-09-01 16:26:00,view_course,pc,search,business,2026-09-01
U0081,2026-09-01 16:42:00,start_trial,pc,search,business,2026-09-01
U0081,2026-09-01 16:55:00,start_lesson,pc,search,business,2026-09-01
U0097,2026-09-01 17:07:00,complete_lesson,pc,ad,programming,2026-09-01
U0081,2026-09-01 17:47:00,complete_lesson,pc,search,business,2026-09-01
U0081,2026-09-01 17:55:00,subscribe,pc,search,business,2026-09-01
U0001,2026-09-01 18:12:00,visit,mobile,referral,programming,2026-09-01
U0193,2026-09-01 19:15:00,visit,pc,ad,data,2026-09-01
U0193,2026-09-01 19:17:00,view_course,pc,ad,data,2026-09-01
U0193,2026-09-01 19:21:00,view_course,pc,ad,data,2026-09-01
U0201,2026-09-01 19:44:00,visit,pc,ad,data,2026-09-01
U0201,2026-09-01 19:53:00,view_course,pc,ad,data,2026-09-01
U0201,2026-09-01 19:55:00,start_trial,pc,ad,data,2026-09-01
U0201,2026-09-01 20:12:00,start_lesson,pc,ad,data,2026-09-01
U0121,2026-09-01 20:28:00,visit,pc,ad,data,2026-09-01
U0089,2026-09-01 20:34:00,visit,mobile,ad,business,2026-09-01
U0121,2026-09-01 20:39:00,view_course,pc,ad,data,2026-09-01
U0173,2026-09-01 20:39:00,visit,mobile,ad,data,2026-09-01
U0121,2026-09-01 20:45:00,view_course,pc,ad,data,2026-09-01
U0089,2026-09-01 20:46:00,view_course,mobile,ad,business,2026-09-01
U0121,2026-09-01 20:49:00,start_trial,pc,ad,data,2026-09-01
U0173,2026-09-01 20:49:00,view_course,mobile,ad,data,2026-09-01
U0173,2026-09-01 20:53:00,start_trial,mobile,ad,data,2026-09-01
U0089,2026-09-01 20:56:00,view_course,mobile,ad,business,2026-09-01
U0173,2026-09-01 20:58:00,start_lesson,mobile,ad,data,2026-09-01
U0173,2026-09-01 21:00:00,view_course,mobile,ad,data,2026-09-01
U0121,2026-09-01 21:11:00,start_lesson,pc,ad,data,2026-09-01
U0129,2026-09-01 21:30:00,visit,mobile,ad,business,2026-09-01
U0129,2026-09-01 21:35:00,view_course,mobile,ad,business,2026-09-01
U0129,2026-09-01 21:37:00,start_trial,mobile,ad,business,2026-09-01
U0129,2026-09-01 21:43:00,start_lesson,mobile,ad,business,2026-09-01
U0173,2026-09-01 21:49:00,complete_lesson,mobile,ad,data,2026-09-01
U0121,2026-09-01 21:58:00,complete_lesson,pc,ad,data,2026-09-01
U0173,2026-09-01 22:08:00,subscribe,mobile,ad,data,2026-09-01
U0097,2026-09-02 04:50:00,share,pc,ad,programming,2026-09-01
U0153,2026-09-02 08:36:00,visit,pc,ad,programming,2026-09-02
U0153,2026-09-02 08:38:00,view_course,pc,ad,programming,2026-09-02
U0177,2026-09-02 08:45:00,visit,pc,ad,programming,2026-09-02
U0177,2026-09-02 08:49:00,view_course,pc,ad,programming,2026-09-02
U0177,2026-09-02 09:01:00,start_trial,pc,ad,programming,2026-09-02
U0177,2026-09-02 09:05:00,start_lesson,pc,ad,programming,2026-09-02
U0125,2026-09-02 09:15:00,visit,mobile,ad,business,2026-09-02
U0125,2026-09-02 09:25:00,view_course,mobile,ad,business,2026-09-02
U0125,2026-09-02 09:39:00,start_trial,mobile,ad,business,2026-09-02
U0125,2026-09-02 09:44:00,view_course,mobile,ad,business,2026-09-02
U0177,2026-09-02 09:56:00,complete_lesson,pc,ad,programming,2026-09-02
U0125,2026-09-02 10:00:00,start_lesson,mobile,ad,business,2026-09-02
U0177,2026-09-02 10:06:00,subscribe,pc,ad,programming,2026-09-02
U0125,2026-09-02 10:40:00,complete_lesson,mobile,ad,business,2026-09-02
U0209,2026-09-02 10:49:00,visit,mobile,ad,programming,2026-09-02
U0209,2026-09-02 11:01:00,view_course,mobile,ad,programming,2026-09-02
U0209,2026-09-02 11:19:00,start_trial,mobile,ad,programming,2026-09-02
U0209,2026-09-02 11:22:00,start_lesson,mobile,ad,programming,2026-09-02
U0209,2026-09-02 11:43:00,complete_lesson,mobile,ad,programming,2026-09-02
U0185,2026-09-02 12:15:00,visit,mobile,ad,data,2026-09-02
U0133,2026-09-02 12:17:00,visit,mobile,search,data,2026-09-02
U0185,2026-09-02 12:22:00,view_course,mobile,ad,data,2026-09-02
U0185,2026-09-02 12:28:00,view_course,mobile,ad,data,2026-09-02
U0217,2026-09-02 12:30:00,visit,mobile,referral,programming,2026-09-02
U0217,2026-09-02 12:37:00,view_course,mobile,referral,programming,2026-09-02
U0013,2026-09-02 12:39:00,visit,mobile,search,business,2026-09-02
U0185,2026-09-02 12:40:00,start_trial,mobile,ad,data,2026-09-02
U0185,2026-09-02 12:48:00,start_lesson,mobile,ad,data,2026-09-02
U0217,2026-09-02 12:51:00,start_trial,mobile,referral,programming,2026-09-02
U0013,2026-09-02 12:52:00,view_course,mobile,search,business,2026-09-02
U0013,2026-09-02 12:55:00,start_trial,mobile,search,business,2026-09-02
U0057,2026-09-02 13:32:00,visit,mobile,ad,programming,2026-09-02
U0057,2026-09-02 13:43:00,view_course,mobile,ad,programming,2026-09-02
U0057,2026-09-02 13:59:00,view_course,mobile,ad,programming,2026-09-02
U0021,2026-09-02 14:32:00,visit,pc,ad,data,2026-09-02
U0009,2026-09-02 14:37:00,visit,pc,ad,programming,2026-09-02
U0009,2026-09-02 14:39:00,view_course,pc,ad,programming,2026-09-02
U0077,2026-09-02 14:39:00,visit,pc,search,data,2026-09-02
U0077,2026-09-02 14:43:00,view_course,pc,search,data,2026-09-02
U0009,2026-09-02 14:44:00,view_course,pc,ad,programming,2026-09-02
U0017,2026-09-02 14:44:00,visit,mobile,ad,business,2026-09-01
U0009,2026-09-02 14:49:00,start_trial,pc,ad,programming,2026-09-02
U0117,2026-09-02 14:50:00,visit,pc,ad,business,2026-09-02
U0017,2026-09-02 14:53:00,view_course,mobile,ad,business,2026-09-01
U0077,2026-09-02 14:58:00,start_trial,pc,search,data,2026-09-02
U0009,2026-09-02 15:10:00,start_lesson,pc,ad,programming,2026-09-02
U0033,2026-09-02 15:21:00,visit,mobile,ad,programming,2026-09-02
U0033,2026-09-02 15:33:00,view_course,mobile,ad,programming,2026-09-02
U0181,2026-09-02 15:49:00,visit,pc,ad,data,2026-09-02
U0105,2026-09-02 16:15:00,visit,pc,referral,business,2026-09-02
U0105,2026-09-02 16:17:00,view_course,pc,referral,business,2026-09-02
U0105,2026-09-02 16:23:00,view_course,pc,referral,business,2026-09-02
U0169,2026-09-02 17:21:00,visit,mobile,referral,data,2026-09-02
U0169,2026-09-02 17:24:00,view_course,mobile,referral,data,2026-09-02
U0169,2026-09-02 17:31:00,start_trial,mobile,referral,data,2026-09-02
U0169,2026-09-02 17:40:00,start_lesson,mobile,referral,data,2026-09-02
U0149,2026-09-02 18:11:00,visit,mobile,search,programming,2026-09-02
U0233,2026-09-02 18:24:00,visit,pc,referral,programming,2026-09-02
U0149,2026-09-02 18:25:00,view_course,mobile,search,programming,2026-09-02
U0149,2026-09-02 18:29:00,start_trial,mobile,search,programming,2026-09-02
U0149,2026-09-02 18:36:00,view_course,mobile,search,programming,2026-09-02
U0149,2026-09-02 18:37:00,start_lesson,mobile,search,programming,2026-09-02
U0029,2026-09-02 18:48:00,visit,pc,referral,data,2026-09-02
U0029,2026-09-02 18:59:00,view_course,pc,referral,data,2026-09-02
U0029,2026-09-02 19:02:00,view_course,pc,referral,data,2026-09-02
U0065,2026-09-02 19:12:00,visit,pc,ad,business,2026-09-02
U0089,2026-09-02 20:51:00,visit,mobile,ad,business,2026-09-01
U0089,2026-09-02 21:12:00,start_lesson,mobile,ad,business,2026-09-01
U0249,2026-09-02 21:34:00,visit,mobile,ad,data,2026-09-02
U0249,2026-09-02 21:36:00,view_course,mobile,ad,data,2026-09-02
U0249,2026-09-02 21:40:00,start_trial,mobile,ad,data,2026-09-02
U0181,2026-09-02 21:49:00,share,pc,ad,data,2026-09-02
U0249,2026-09-02 21:49:00,view_course,mobile,ad,data,2026-09-02
U0249,2026-09-02 21:53:00,start_lesson,mobile,ad,data,2026-09-02
U0249,2026-09-02 22:17:00,complete_lesson,mobile,ad,data,2026-09-02
U0201,2026-09-02 22:31:00,visit,pc,ad,data,2026-09-01
U0201,2026-09-02 22:56:00,start_lesson,pc,ad,data,2026-09-01
U0153,2026-09-03 07:59:00,visit,pc,ad,programming,2026-09-02
U0153,2026-09-03 08:08:00,view_course,pc,ad,programming,2026-09-02
U0061,2026-09-03 08:12:00,visit,mobile,ad,business,2026-09-03
U0205,2026-09-03 08:16:00,visit,mobile,ad,data,2026-09-03
U0205,2026-09-03 08:19:00,view_course,mobile,ad,data,2026-09-03
U0177,2026-09-03 09:30:00,visit,pc,ad,programming,2026-09-02
U0213,2026-09-03 09:32:00,visit,pc,search,programming,2026-09-03
U0213,2026-09-03 09:33:00,view_course,pc,search,programming,2026-09-03
U0213,2026-09-03 09:42:00,view_course,pc,search,programming,2026-09-03
U0041,2026-09-03 10:17:00,visit,pc,referral,business,2026-09-03
U0073,2026-09-03 10:25:00,visit,mobile,referral,data,2026-09-03
U0073,2026-09-03 10:29:00,view_course,mobile,referral,data,2026-09-03
U0041,2026-09-03 10:31:00,view_course,pc,referral,business,2026-09-03
U0041,2026-09-03 10:46:00,start_trial,pc,referral,business,2026-09-03
U0189,2026-09-03 10:59:00,visit,mobile,search,data,2026-09-03
U0041,2026-09-03 11:02:00,start_lesson,pc,referral,business,2026-09-03
U0189,2026-09-03 11:10:00,view_course,mobile,search,data,2026-09-03
U0189,2026-09-03 11:22:00,start_trial,mobile,search,data,2026-09-03
U0189,2026-09-03 11:23:00,view_course,mobile,search,data,2026-09-03
U0013,2026-09-03 11:28:00,visit,mobile,search,business,2026-09-02
U0013,2026-09-03 11:39:00,view_course,mobile,search,business,2026-09-02
U0141,2026-09-03 11:41:00,visit,pc,search,data,2026-09-03
U0189,2026-09-03 11:42:00,start_lesson,mobile,search,data,2026-09-03
U0141,2026-09-03 11:49:00,view_course,pc,search,data,2026-09-03
U0141,2026-09-03 11:55:00,start_trial,pc,search,data,2026-09-03
U0041,2026-09-03 12:00:00,complete_lesson,pc,referral,business,2026-09-03
U0141,2026-09-03 12:24:00,start_lesson,pc,search,data,2026-09-03
U0229,2026-09-03 12:40:00,visit,mobile,search,programming,2026-09-03
U0053,2026-09-03 12:46:00,visit,pc,ad,data,2026-09-03
U0053,2026-09-03 12:49:00,view_course,pc,ad,data,2026-09-03
U0229,2026-09-03 12:53:00,view_course,mobile,search,programming,2026-09-03
U0053,2026-09-03 13:05:00,view_course,pc,ad,data,2026-09-03
U0229,2026-09-03 13:11:00,view_course,mobile,search,programming,2026-09-03
U0025,2026-09-03 13:21:00,visit,pc,ad,business,2026-09-03
U0025,2026-09-03 13:32:00,view_course,pc,ad,business,2026-09-03
U0237,2026-09-03 13:40:00,visit,pc,referral,business,2026-09-03
U0241,2026-09-03 13:42:00,visit,mobile,search,programming,2026-09-03
U0237,2026-09-03 13:47:00,view_course,pc,referral,business,2026-09-03
U0241,2026-09-03 13:52:00,view_course,mobile,search,programming,2026-09-03
U0241,2026-09-03 14:00:00,start_trial,mobile,search,programming,2026-09-03
U0145,2026-09-03 14:01:00,visit,pc,search,data,2026-09-03
U0237,2026-09-03 14:03:00,start_trial,pc,referral,business,2026-09-03
U0117,2026-09-03 14:05:00,visit,pc,ad,business,2026-09-02
U0145,2026-09-03 14:07:00,view_course,pc,search,data,2026-09-03
U0117,2026-09-03 14:14:00,view_course,pc,ad,business,2026-09-02
U0145,2026-09-03 14:16:00,view_course,pc,search,data,2026-09-03
U0049,2026-09-03 14:17:00,visit,mobile,referral,data,2026-09-03
U0049,2026-09-03 14:18:00,view_course,mobile,referral,data,2026-09-03
U0241,2026-09-03 14:21:00,start_lesson,mobile,search,programming,2026-09-03
U0145,2026-09-03 14:26:00,start_trial,pc,search,data,2026-09-03
U0237,2026-09-03 14:27:00,start_lesson,pc,referral,business,2026-09-03
U0049,2026-09-03 14:28:00,start_trial,mobile,referral,data,2026-09-03
U0049,2026-09-03 14:32:00,start_lesson,mobile,referral,data,2026-09-03
U0145,2026-09-03 14:32:00,start_lesson,pc,search,data,2026-09-03
U0049,2026-09-03 14:37:00,view_course,mobile,referral,data,2026-09-03
U0077,2026-09-03 14:41:00,visit,pc,search,data,2026-09-02
U0241,2026-09-03 14:44:00,complete_lesson,mobile,search,programming,2026-09-03
U0077,2026-09-03 14:47:00,view_course,pc,search,data,2026-09-02
U0245,2026-09-03 14:52:00,visit,mobile,ad,business,2026-09-03
U0049,2026-09-03 14:54:00,complete_lesson,mobile,referral,data,2026-09-03
U0077,2026-09-03 14:58:00,start_lesson,pc,search,data,2026-09-02
U0245,2026-09-03 15:02:00,view_course,mobile,ad,business,2026-09-03
U0049,2026-09-03 15:13:00,subscribe,mobile,referral,data,2026-09-03
U0137,2026-09-03 15:18:00,visit,mobile,referral,programming,2026-09-03
U0245,2026-09-03 15:18:00,start_trial,mobile,ad,business,2026-09-03
U0145,2026-09-03 15:20:00,complete_lesson,pc,search,data,2026-09-03
U0057,2026-09-03 15:32:00,visit,mobile,ad,programming,2026-09-02
U0057,2026-09-03 15:42:00,start_lesson,mobile,ad,programming,2026-09-02
U0101,2026-09-03 15:44:00,visit,mobile,search,data,2026-09-03
U0113,2026-09-03 17:04:00,visit,mobile,search,programming,2026-09-03
U0105,2026-09-03 17:05:00,visit,pc,referral,business,2026-09-02
U0113,2026-09-03 17:07:00,view_course,mobile,search,programming,2026-09-03
U0105,2026-09-03 17:09:00,view_course,pc,referral,business,2026-09-02
U0105,2026-09-03 17:10:00,start_lesson,pc,referral,business,2026-09-02
U0113,2026-09-03 17:11:00,start_trial,mobile,search,programming,2026-09-03
U0113,2026-09-03 17:16:00,view_course,mobile,search,programming,2026-09-03
U0069,2026-09-03 18:08:00,visit,pc,search,data,2026-09-03
U0069,2026-09-03 18:12:00,view_course,pc,search,data,2026-09-03
U0225,2026-09-03 18:13:00,visit,mobile,referral,data,2026-09-03
U0225,2026-09-03 18:25:00,view_course,mobile,referral,data,2026-09-03
U0069,2026-09-03 18:26:00,start_trial,pc,search,data,2026-09-03
U0225,2026-09-03 18:35:00,view_course,mobile,referral,data,2026-09-03
U0069,2026-09-03 18:43:00,start_lesson,pc,search,data,2026-09-03
U0029,2026-09-03 19:52:00,visit,pc,referral,data,2026-09-02
U0029,2026-09-03 20:01:00,view_course,pc,referral,data,2026-09-02
U0165,2026-09-03 20:45:00,visit,mobile,ad,data,2026-09-03
U0161,2026-09-03 21:31:00,visit,pc,search,programming,2026-09-03
U0161,2026-09-03 21:38:00,view_course,pc,search,programming,2026-09-03
U0161,2026-09-03 21:41:00,view_course,pc,search,programming,2026-09-03
U0161,2026-09-03 21:42:00,start_trial,pc,search,programming,2026-09-03
U0161,2026-09-03 22:06:00,start_lesson,pc,search,programming,2026-09-03
U0137,2026-09-03 22:18:00,share,mobile,referral,programming,2026-09-03
U0161,2026-09-03 22:59:00,complete_lesson,pc,search,programming,2026-09-03
U0213,2026-09-04 00:32:00,share,pc,search,programming,2026-09-03
U0053,2026-09-04 00:46:00,share,pc,ad,data,2026-09-03
U0205,2026-09-04 06:23:00,visit,mobile,ad,data,2026-09-03
U0205,2026-09-04 06:30:00,view_course,mobile,ad,data,2026-09-03
U0237,2026-09-04 07:40:00,share,pc,referral,business,2026-09-03
U0141,2026-09-04 13:06:00,visit,pc,search,data,2026-09-03
U0049,2026-09-04 13:15:00,visit,mobile,referral,data,2026-09-03
U0049,2026-09-04 13:20:00,view_course,mobile,referral,data,2026-09-03
U0053,2026-09-04 13:45:00,visit,pc,ad,data,2026-09-03
U0053,2026-09-04 13:51:00,view_course,pc,ad,data,2026-09-03
U0229,2026-09-04 14:55:00,visit,mobile,search,programming,2026-09-03
U0229,2026-09-04 15:01:00,view_course,mobile,search,programming,2026-09-03
U0229,2026-09-04 15:24:00,start_lesson,mobile,search,programming,2026-09-03
U0069,2026-09-04 19:26:00,visit,pc,search,data,2026-09-03
U0069,2026-09-04 19:35:00,view_course,pc,search,data,2026-09-03
U0109,2026-09-08 09:06:00,visit,mobile,referral,data,2026-09-01
U0106,2026-09-08 10:04:00,visit,pc,referral,business,2026-09-08
U0106,2026-09-08 10:08:00,view_course,pc,referral,business,2026-09-08
U0106,2026-09-08 10:11:00,start_trial,pc,referral,business,2026-09-08
U0066,2026-09-08 10:55:00,visit,mobile,ad,programming,2026-09-08
U0066,2026-09-08 11:01:00,view_course,mobile,ad,programming,2026-09-08
U0198,2026-09-08 11:05:00,visit,pc,ad,programming,2026-09-08
U0198,2026-09-08 11:13:00,view_course,pc,ad,programming,2026-09-08
U0114,2026-09-08 11:17:00,visit,pc,search,programming,2026-09-08
U0114,2026-09-08 11:21:00,view_course,pc,search,programming,2026-09-08
U0114,2026-09-08 11:34:00,start_trial,pc,search,programming,2026-09-08
U0210,2026-09-08 11:35:00,visit,pc,search,data,2026-09-08
U0210,2026-09-08 11:37:00,view_course,pc,search,data,2026-09-08
U0114,2026-09-08 11:45:00,start_lesson,pc,search,programming,2026-09-08
